Ticker_Nome;Ticker;Nome;Market
SLRC - SLR Investment Corp. - Closed End Fund;SLRC;SLR Investment Corp. - Closed End Fund;Nasdaq
SLRN - ACELYRIN, INC. - Common Stock;SLRN;ACELYRIN, INC. - Common Stock;Nasdaq
SLRX - Salarius Pharmaceuticals, Inc. - Common Stock;SLRX;Salarius Pharmaceuticals, Inc. - Common Stock;Nasdaq
SLS - SELLAS Life Sciences Group, Inc.  - Common Stock;SLS;SELLAS Life Sciences Group, Inc.  - Common Stock;Nasdaq
SLVO - ETRACS Silver Shares Covered Call ETNs due April 21, 2033;SLVO;ETRACS Silver Shares Covered Call ETNs due April 21, 2033;Nasdaq
SMBC - Southern Missouri Bancorp, Inc. - Common Stock;SMBC;Southern Missouri Bancorp, Inc. - Common Stock;Nasdaq
SMCF - Themes US Small Cap Cash Flow Champions ETF;SMCF;Themes US Small Cap Cash Flow Champions ETF;Nasdaq
SMCI - Super Micro Computer, Inc. - Common Stock;SMCI;Super Micro Computer, Inc. - Common Stock;Nasdaq
SMCO - Hilton Small-MidCap Opportunity ETF;SMCO;Hilton Small-MidCap Opportunity ETF;Nasdaq
SMCP - AlphaMark Actively Managed Small Cap ETF;SMCP;AlphaMark Actively Managed Small Cap ETF;Nasdaq
SMFL - Smart for Life, Inc. - Common Stock;SMFL;Smart for Life, Inc. - Common Stock;Nasdaq
SMH - VanEck Semiconductor ETF;SMH;VanEck Semiconductor ETF;Nasdaq
SMID - Smith-Midland Corporation - Common Stock;SMID;Smith-Midland Corporation - Common Stock;Nasdaq
SMLR - Semler Scientific, Inc. - Common Stock;SMLR;Semler Scientific, Inc. - Common Stock;Nasdaq
SMMT - Summit Therapeutics Inc.  - Common Stock;SMMT;Summit Therapeutics Inc.  - Common Stock;Nasdaq
SMPL - The Simply Good Foods Company - Common Stock;SMPL;The Simply Good Foods Company - Common Stock;Nasdaq
SMRI - Bushido Capital US Equity ETF;SMRI;Bushido Capital US Equity ETF;Nasdaq
SMSI - Smith Micro Software, Inc. - Common Stock;SMSI;Smith Micro Software, Inc. - Common Stock;Nasdaq
SMTC - Semtech Corporation - Common Stock;SMTC;Semtech Corporation - Common Stock;Nasdaq
SMTI - Sanara MedTech Inc. - Common Stock;SMTI;Sanara MedTech Inc. - Common Stock;Nasdaq
SMTK - SmartKem, Inc. - Common Stock;SMTK;SmartKem, Inc. - Common Stock;Nasdaq
SMX - SMX (Security Matters) Public Limited Company - Class A Ordinary Shares;SMX;SMX (Security Matters) Public Limited Company - Class A Ordinary Shares;Nasdaq
SMXT - Solarmax Technology Inc. - Common Stock;SMXT;Solarmax Technology Inc. - Common Stock;Nasdaq
SMXWW - SMX (Security Matters) Public Limited Company - Warrant;SMXWW;SMX (Security Matters) Public Limited Company - Warrant;Nasdaq
SNAL - Snail, Inc. - Class A Common Stock;SNAL;Snail, Inc. - Class A Common Stock;Nasdaq
SNAX - Stryve Foods, Inc. - Class A Common Stock;SNAX;Stryve Foods, Inc. - Class A Common Stock;Nasdaq
SNAXW - Stryve Foods, Inc. - Warrant;SNAXW;Stryve Foods, Inc. - Warrant;Nasdaq
SNBR - Sleep Number Corporation - Common Stock;SNBR;Sleep Number Corporation - Common Stock;Nasdaq
SNCR - Synchronoss Technologies, Inc. - Common Stock;SNCR;Synchronoss Technologies, Inc. - Common Stock;Nasdaq
SNCRL - Synchronoss Technologies, Inc. - 8.375% Senior Notes due 2026;SNCRL;Synchronoss Technologies, Inc. - 8.375% Senior Notes due 2026;Nasdaq
SNCY - Sun Country Airlines Holdings, Inc. - Common Stock;SNCY;Sun Country Airlines Holdings, Inc. - Common Stock;Nasdaq
SND - Smart Sand, Inc. - Common Stock;SND;Smart Sand, Inc. - Common Stock;Nasdaq
SNDL - SNDL Inc. - Common Shares;SNDL;SNDL Inc. - Common Shares;Nasdaq
SNDX - Syndax Pharmaceuticals, Inc. - Common Stock;SNDX;Syndax Pharmaceuticals, Inc. - Common Stock;Nasdaq
SNES - SenesTech, Inc. - Common Stock;SNES;SenesTech, Inc. - Common Stock;Nasdaq
SNEX - StoneX Group Inc. - Common Stock;SNEX;StoneX Group Inc. - Common Stock;Nasdaq
SNFCA - Security National Financial Corporation - Class A Common Stock;SNFCA;Security National Financial Corporation - Class A Common Stock;Nasdaq
SNGX - Soligenix, Inc. - Common Stock;SNGX;Soligenix, Inc. - Common Stock;Nasdaq
SNOA - Sonoma Pharmaceuticals, Inc. - Common Stock;SNOA;Sonoma Pharmaceuticals, Inc. - Common Stock;Nasdaq
SNPS - Synopsys, Inc. - Common Stock;SNPS;Synopsys, Inc. - Common Stock;Nasdaq
SNPX - Synaptogenix, Inc. - Common Stock;SNPX;Synaptogenix, Inc. - Common Stock;Nasdaq
SNSE - Sensei Biotherapeutics, Inc. - Common Stock;SNSE;Sensei Biotherapeutics, Inc. - Common Stock;Nasdaq
SNSR - Global X Internet of Things ETF;SNSR;Global X Internet of Things ETF;Nasdaq
SNT - Senstar Technologies Corporation - Common Shares;SNT;Senstar Technologies Corporation - Common Shares;Nasdaq
SNTG - Sentage Holdings Inc. - Class A Ordinary Shares;SNTG;Sentage Holdings Inc. - Class A Ordinary Shares;Nasdaq
SNTI - Senti Biosciences, Inc.  - Common Stock;SNTI;Senti Biosciences, Inc.  - Common Stock;Nasdaq
SNY - Sanofi - American Depositary Shares;SNY;Sanofi - American Depositary Shares;Nasdaq
SOBR - SOBR Safe, Inc. - Common Stock;SOBR;SOBR Safe, Inc. - Common Stock;Nasdaq
SOCL - Global X Social Media ETF;SOCL;Global X Social Media ETF;Nasdaq
